sector,state,collateral_type,business_age_months,monthly_revenue,monthly_expenses,loan_amount,loan_tenor_months,interest_rate,avg_monthly_txn_count,avg_txn_value,airtime_topup_freq_monthly,mobile_money_balance_volatility,utility_payment_consistency,prior_loans_count,prior_default_count,bvn_linked,has_registered_business,owner_age,default
Fashion,Enugu,Equipment,12,6007956.32,3853839.07,15020116.69,18,0.435,62,96902.52,8,0.715,0.641,1,0,1,0,34,1
Transport,Delta,Property,89,1599676.23,1101018.35,1205399.48,24,0.157,53,30182.57,7,0.391,0.879,1,0,1,0,36,0
Food Services,Kano,Equipment,26,1546171.85,1395100.6,3822177.25,12,0.317,61,25347.08,6,0.758,0.397,1,0,1,0,50,0
Fashion,Oyo,None,165,754780.99,706326.84,755930.76,9,0.217,65,11612.02,8,0.206,0.812,2,1,1,0,60,0
Retail,Rivers,Inventory,68,493371.85,462930.37,809153.71,18,0.362,49,10068.81,10,0.362,0.532,0,0,0,1,44,0
Food Services,Abuja,Property,149,2531795.33,2176018.98,6416966.8,18,0.319,62,40835.41,6,0.451,0.571,1,0,1,1,26,0
Retail,Kaduna,Vehicle,163,1311975.93,827199.13,877264.14,3,0.209,56,23428.14,12,0.266,0.212,1,0,0,0,29,0
Retail,Enugu,None,20,345729.6,179920.39,975104.21,3,0.302,73,4736.02,6,0.692,0.722,2,0,1,0,64,1
Food Services,Rivers,None,136,1097428.09,758902.2,1145024.54,18,0.306,53,20706.19,6,0.684,0.516,2,0,1,1,44,1
Retail,Oyo,Inventory,55,1549817.1,982317.97,2715000.95,18,0.276,54,28700.32,7,0.525,0.722,1,0,1,1,24,0
Trading,Kaduna,None,20,110608.49,87915.56,258428.21,18,0.163,59,1874.72,10,0.465,0.888,7,0,1,1,42,0
Tech,Lagos,Vehicle,47,318014.38,212108.04,257191.82,3,0.212,57,5579.2,14,0.464,0.903,1,1,1,0,29,0
Fashion,Lagos,Inventory,99,1011038.26,910783.89,2044181.95,3,0.441,65,15554.43,5,0.528,0.944,1,1,1,1,51,0
Agric,Kano,Inventory,154,129053.82,86248.58,230866.78,3,0.207,40,3226.35,8,0.27,0.753,2,2,1,1,62,0
Tech,Enugu,None,124,148818.39,99722.95,292366.46,6,0.288,65,2289.51,7,0.368,0.9,1,0,1,1,35,0
Trading,Abuja,Inventory,42,571822.8,481248.03,1232986.21,12,0.238,76,7523.98,8,0.14,0.793,1,0,1,1,26,0
Transport,Kaduna,Vehicle,53,1135279.95,869070.55,1761466.42,9,0.377,60,18921.33,6,0.682,0.797,2,0,1,1,22,0
Tech,Kaduna,Inventory,55,1183522.05,727723.79,1475760.89,3,0.323,62,19089.07,4,0.769,0.909,0,0,1,0,57,0
Retail,Oyo,None,132,3030261.86,2437876.89,2907941.34,12,0.365,64,47347.84,7,0.264,0.23,0,0,1,1,47,0
Agric,Kano,None,93,785469.96,591731.57,2236755.29,6,0.341,42,18701.67,6,0.812,0.437,1,1,1,0,50,1
Tech,Lagos,Vehicle,5,521577.12,285212.32,784159.63,6,0.301,62,8412.53,10,0.593,0.895,2,0,1,1,35,0
Transport,Kaduna,Vehicle,14,224892.18,159733.88,271121.21,18,0.438,58,3877.45,12,0.294,0.456,2,0,1,0,40,0
Food Services,Delta,None,14,515986.12,471310.41,325776.43,6,0.361,41,12585.03,7,0.795,0.822,1,0,1,0,63,0
Tech,Kano,Equipment,173,1378872.06,820852.31,3278979.9,12,0.357,59,23370.71,11,0.473,0.476,1,0,0,0,60,0
Agric,Oyo,None,91,1436111.95,986002.51,2612810.49,3,0.357,58,24760.55,16,0.41,0.431,2,0,1,1,46,0
Fashion,Kaduna,Inventory,88,925562.65,577715.29,904654.67,18,0.29,61,15173.16,7,0.508,0.421,1,1,0,0,27,0
Transport,Enugu,None,137,1193503.24,885118.87,3262363.05,12,0.343,51,23402.02,6,0.802,0.958,3,0,1,0,38,0
Transport,Rivers,Property,35,2300748.82,2159944.9,6521361.03,18,0.331,53,43410.36,8,0.317,0.601,2,0,1,1,40,0
Trading,Enugu,Vehicle,6,780542.65,499105.83,2108784.88,6,0.416,52,15010.44,12,0.538,0.338,0,0,1,1,59,0
Retail,Delta,None,49,2496966.0,2184285.54,4750297.02,9,0.444,62,40273.65,4,0.481,0.834,1,0,1,0,23,0
Fashion,Kaduna,Inventory,38,379275.39,332712.94,543577.26,9,0.295,54,7023.62,9,0.814,0.786,2,1,1,1,27,1
Fashion,Kano,None,143,682855.17,421142.07,617788.87,24,0.33,50,13657.1,8,0.216,0.825,1,0,1,1,47,0
Tech,Oyo,None,147,473188.97,401109.51,682862.92,3,0.237,59,8020.15,8,0.632,0.228,2,0,1,0,62,0
Fashion,Abuja,None,114,1488730.97,1406336.97,3022758.92,6,0.404,57,26118.09,7,0.611,0.773,3,1,0,1,57,1
Fashion,Enugu,None,163,292717.72,272025.35,312149.32,24,0.363,68,4304.67,3,0.126,0.992,5,0,1,0,58,0
Retail,Rivers,Vehicle,84,546020.1,421845.95,906342.48,3,0.427,57,9579.3,11,0.57,0.775,3,0,1,0,62,0
Food Services,Abuja,None,44,136802.17,77742.3,264401.96,6,0.332,64,2137.53,9,0.67,0.5,1,0,1,0,35,1
Retail,Abuja,Property,60,1245364.08,689562.88,2899937.64,6,0.363,67,18587.52,1,0.624,0.217,1,0,0,0,23,1
Agric,Abuja,None,26,2240279.62,1389128.98,1631769.92,18,0.179,69,32467.82,12,0.377,0.976,1,1,1,0,33,1
Transport,Abuja,Inventory,162,1655538.94,1275743.14,4416134.64,18,0.332,59,28059.98,15,0.567,0.547,1,0,1,1,30,0
Transport,Lagos,Inventory,109,1515665.01,1021257.37,2485972.56,24,0.263,62,24446.21,8,0.087,0.969,0,0,1,0,52,0
Trading,Enugu,Vehicle,139,1552629.27,1264708.8,3035122.59,3,0.302,64,24259.83,13,0.266,0.58,2,1,1,0,39,1
Fashion,Kano,None,51,1369182.56,1169966.87,3903254.63,6,0.248,58,23606.6,9,0.397,0.823,2,0,1,0,26,0
Agric,Delta,None,129,1268005.89,736952.01,1166497.94,9,0.236,65,19507.78,8,0.401,0.658,1,0,1,0,26,0
Fashion,Rivers,Equipment,60,1343813.62,1219352.76,3643367.72,18,0.396,48,27996.12,9,0.305,0.944,1,0,1,1,52,0
Trading,Enugu,Equipment,80,404289.34,213164.73,1015201.28,12,0.317,74,5463.37,10,0.826,0.263,1,0,1,0,58,0
Fashion,Rivers,Equipment,117,609153.7,377198.74,1818365.47,12,0.226,63,9669.11,4,0.744,0.324,2,0,1,0,38,0
Fashion,Oyo,None,176,777018.11,673410.54,1152011.49,18,0.38,68,11426.74,7,0.713,0.302,0,0,1,0,63,0
Fashion,Kano,None,100,539212.69,314188.18,440600.27,6,0.172,77,7002.76,2,0.681,0.596,0,0,1,1,56,1
Transport,Kano,Property,128,178139.34,106716.5,95383.0,24,0.238,60,2968.99,7,0.408,0.356,1,0,1,1,45,0
Tech,Enugu,Equipment,107,240023.45,225392.91,595615.72,12,0.251,67,3582.44,10,0.41,0.493,0,0,0,1,52,0
Transport,Kaduna,Equipment,76,897150.14,816912.58,754943.3,6,0.203,49,18309.19,12,0.472,0.544,3,0,1,0,48,0
Agric,Abuja,None,167,1648206.55,1426921.14,2085031.22,9,0.403,64,25753.23,5,0.555,0.255,2,0,1,1,21,0
Fashion,Kaduna,None,172,735574.95,425317.15,2183398.0,6,0.352,64,11493.36,6,0.562,0.527,4,0,1,1,37,0
Tech,Rivers,Vehicle,56,8783097.34,5399955.54,14098956.1,6,0.351,57,154089.43,15,0.549,0.292,0,0,1,1,40,0
Tech,Abuja,Equipment,161,318766.4,193116.8,343634.72,18,0.328,69,4619.8,7,0.655,0.711,5,0,1,0,60,0
Tech,Abuja,None,81,1088648.88,636974.94,2594341.61,6,0.263,69,15777.52,3,0.564,0.515,2,0,1,0,32,0
Tech,Delta,Vehicle,133,2331639.79,2184049.16,2748733.33,24,0.348,53,43993.2,10,0.769,0.413,1,0,1,1,35,0
Trading,Lagos,Inventory,93,1903318.33,1093861.17,3478418.34,3,0.371,59,32259.63,7,0.256,0.278,1,0,1,1,51,0
Trading,Kano,None,138,1315280.06,1099601.66,1174979.09,6,0.312,63,20877.46,7,0.844,0.365,2,0,1,1,40,0
Agric,Kano,Inventory,157,1911174.58,999461.45,3157417.72,24,0.291,48,39816.14,12,0.463,0.694,3,0,1,0,24,0
Trading,Kaduna,Equipment,76,766703.1,570973.67,591545.39,18,0.217,65,11795.43,9,0.812,0.836,2,1,1,0,27,0
Tech,Kano,Inventory,126,3257900.64,1732820.24,7925614.74,9,0.175,60,54298.34,5,0.336,0.828,4,0,1,0,44,0
Transport,Delta,Inventory,91,2314821.64,1221737.61,3270490.09,6,0.162,56,41336.1,9,0.107,0.364,3,1,1,0,33,0
Transport,Enugu,Equipment,144,338742.38,204466.47,439351.99,6,0.364,58,5840.39,6,0.346,0.52,1,0,1,0,57,0
Tech,Enugu,None,35,974238.23,892910.31,2907579.42,6,0.255,78,12490.23,7,0.854,0.716,1,0,1,1,64,1
Fashion,Kaduna,Vehicle,131,181213.84,142701.11,466490.87,24,0.363,65,2787.91,9,0.45,0.858,2,0,1,1,36,0
Tech,Rivers,Inventory,107,2869390.16,2275801.36,5408264.27,9,0.302,54,53136.85,9,0.68,0.388,0,0,1,1,38,1
Trading,Kano,Inventory,81,892523.66,565810.96,2553091.23,24,0.284,65,13731.13,10,0.589,0.974,1,0,1,0,26,0
Fashion,Oyo,Equipment,67,2455634.06,2027438.8,2525611.84,18,0.339,51,48149.69,11,0.17,0.335,1,0,1,1,50,0
Transport,Rivers,Equipment,126,661045.69,533264.65,1278273.03,9,0.205,57,11597.29,11,0.832,0.247,0,0,0,1,44,1
Transport,Lagos,Inventory,63,137222.54,97120.41,387330.26,18,0.444,50,2744.45,11,0.437,0.455,2,1,1,1,52,1
Tech,Rivers,Equipment,6,7831235.04,6321157.03,15069381.87,9,0.249,63,124305.32,5,0.861,0.528,1,0,1,1,54,0
Tech,Kaduna,Vehicle,170,820754.81,730644.92,1042337.64,9,0.381,55,14922.81,7,0.256,0.854,2,0,1,0,39,0
Trading,Enugu,Property,81,296502.89,276391.49,749897.33,18,0.224,52,5701.98,11,0.083,0.854,3,0,1,0,48,1
Tech,Abuja,Property,30,2045568.0,1940154.27,1732647.88,18,0.29,60,34092.8,4,0.577,0.292,3,0,0,1,50,0
Fashion,Enugu,None,41,4557439.69,3280173.79,4010550.32,6,0.3,69,66049.85,6,0.72,0.26,0,0,1,0,54,0
Retail,Enugu,Inventory,149,607924.3,312922.3,1415133.62,9,0.242,55,11053.17,7,0.324,0.827,1,0,1,0,56,0
Transport,Kaduna,Inventory,60,667091.06,402342.74,449172.17,24,0.255,44,15161.16,7,0.578,0.971,2,0,0,0,32,0
Trading,Delta,None,51,903689.96,531895.66,566231.31,6,0.281,49,18442.65,7,0.213,0.65,0,0,1,0,39,0
Retail,Delta,Property,88,268371.21,170480.78,388517.46,18,0.401,71,3779.88,6,0.55,0.395,4,0,1,1,43,0
Tech,Rivers,None,6,391757.89,259432.25,585586.47,24,0.3,56,6995.68,4,0.207,0.559,1,1,1,0,22,0
Food Services,Kaduna,None,101,3626335.81,2904349.65,6070942.31,12,0.177,64,56661.5,11,0.07,0.683,1,0,1,0,37,1
Agric,Kano,None,8,647590.74,476989.46,1523023.58,3,0.215,71,9121.0,10,0.264,0.382,3,0,1,1,45,0
Agric,Kano,None,150,343244.64,271981.93,659761.64,24,0.446,63,5448.33,3,0.475,0.796,1,0,1,1,56,0
Retail,Enugu,None,77,485610.57,455176.29,1109072.11,24,0.177,63,7708.1,14,0.718,0.225,1,0,0,1,63,1
Food Services,Oyo,Equipment,40,1915599.75,1000100.88,1196744.83,12,0.344,43,44548.83,14,0.391,0.379,1,1,1,1,48,0
Fashion,Kano,Inventory,82,123215.83,62406.28,158857.01,18,0.213,55,2240.29,7,0.337,0.229,0,0,1,0,63,0
Trading,Delta,None,32,917295.46,733357.03,2674849.41,3,0.28,60,15288.26,12,0.571,0.842,2,0,1,1,25,0
Agric,Rivers,None,58,6689146.67,4988860.53,10498034.62,18,0.257,51,131159.74,7,0.826,0.252,1,0,1,0,48,0
Fashion,Lagos,Property,24,4537815.85,3254689.99,4792973.51,18,0.443,57,79610.8,7,0.885,0.337,4,0,1,1,40,0
Trading,Lagos,None,120,1221857.14,1080118.51,3641397.57,12,0.315,69,17708.07,4,0.291,0.614,3,0,0,1,29,0
Fashion,Kaduna,Inventory,175,2385211.48,1363134.26,3645307.61,12,0.225,58,41124.34,7,0.597,0.899,0,0,1,0,38,0
Agric,Kano,Inventory,87,2364657.28,1792714.59,4012716.13,18,0.331,57,41485.22,6,0.898,0.487,0,0,1,0,44,0
Food Services,Kano,Inventory,18,651304.92,598788.39,690052.99,12,0.171,50,13026.1,8,0.612,0.812,0,0,1,0,31,0
Retail,Enugu,Property,14,1676660.24,1174725.31,3589532.88,3,0.428,54,31049.26,6,0.105,0.603,1,1,1,1,37,1
Tech,Kano,Equipment,149,3648128.0,2776087.03,3714068.58,6,0.253,53,68832.6,8,0.609,0.965,1,0,1,1,32,0
Transport,Oyo,Vehicle,63,233891.82,124313.43,473586.24,12,0.415,55,4252.58,15,0.153,0.785,4,0,1,1,21,0
Trading,Lagos,Property,54,1225654.8,805417.45,2933725.02,12,0.393,59,20773.81,8,0.761,0.83,2,0,1,0,50,0
Tech,Rivers,None,19,1009865.69,523745.87,2152018.31,6,0.206,59,17116.37,7,0.528,0.572,2,1,1,1,28,1
Tech,Delta,None,119,800384.92,606347.08,581043.97,3,0.439,51,15693.82,9,0.782,0.687,1,0,1,1,22,0
Fashion,Kano,None,12,739086.3,565928.26,516943.0,12,0.448,67,11031.14,6,0.665,0.82,1,0,1,0,44,1
Food Services,Rivers,Inventory,162,898518.86,833716.02,2341431.31,6,0.392,52,17279.21,9,0.272,0.266,2,0,0,0,23,0
Transport,Abuja,Inventory,38,968995.24,762873.2,2675781.28,18,0.285,76,12749.94,10,0.714,0.545,0,0,0,1,58,1
Retail,Abuja,None,13,1996195.67,1000777.4,1675109.44,12,0.352,55,36294.47,9,0.566,0.436,3,1,1,0,56,0
Retail,Abuja,None,126,1120026.83,979973.61,1611327.12,6,0.174,63,17778.2,8,0.579,0.752,1,0,1,1,23,0
Retail,Abuja,Inventory,64,621512.35,402954.63,1327032.76,18,0.426,63,9865.28,9,0.782,0.886,0,0,1,1,51,0
Fashion,Enugu,Equipment,125,342514.99,281349.44,886669.37,3,0.217,69,4963.99,9,0.41,0.71,4,0,1,1,29,0
Retail,Lagos,Equipment,8,476775.85,295035.02,1321843.41,9,0.365,62,7689.93,11,0.825,0.233,2,0,1,1,52,1
Agric,Abuja,Vehicle,155,922690.83,776999.03,2073015.84,12,0.39,54,17086.87,9,0.449,0.573,3,0,1,0,54,0
Retail,Kano,None,56,386364.44,354439.46,335629.49,24,0.441,61,6333.84,9,0.116,0.742,1,1,1,0,63,1
Trading,Oyo,Inventory,136,1708778.56,915381.69,4136743.4,24,0.397,64,26699.66,5,0.593,0.553,1,0,1,1,57,0
Trading,Delta,Vehicle,168,1074160.12,800209.41,2843905.88,18,0.395,62,17325.16,7,0.193,0.894,0,0,1,1,50,0
Trading,Delta,Equipment,96,2041457.72,1517172.4,2813669.57,12,0.362,59,34600.98,11,0.549,0.807,3,0,1,0,21,0
Fashion,Abuja,Inventory,60,410471.88,258144.52,712325.39,12,0.323,47,8733.44,7,0.279,0.226,2,0,1,0,59,0
Fashion,Oyo,Inventory,56,345255.19,225711.78,316238.74,9,0.163,71,4862.75,6,0.527,0.421,0,0,0,1,24,0
Transport,Lagos,None,123,2027778.68,1630886.32,2557634.71,12,0.442,59,34369.13,1,0.86,0.458,0,0,1,0,32,0
Tech,Oyo,Property,2,819917.14,517921.15,2192867.6,24,0.285,64,12811.21,9,0.866,0.708,2,0,1,0,50,0
Fashion,Rivers,Equipment,27,607881.1,312318.52,438961.93,12,0.389,59,10303.07,15,0.292,0.567,0,0,0,1,38,0
Agric,Lagos,Inventory,116,1367909.81,1157434.71,3291270.08,18,0.263,59,23184.91,14,0.236,0.599,1,0,1,1,30,0
Food Services,Enugu,Inventory,5,1322856.95,1033596.83,984328.18,12,0.287,63,20997.73,7,0.461,0.77,4,0,1,1,57,0
Tech,Rivers,Inventory,52,235581.6,144341.95,290130.76,18,0.289,60,3926.36,13,0.305,0.75,3,0,1,1,23,0
Food Services,Kano,None,116,2536208.0,2365504.58,4960901.51,24,0.447,55,46112.87,8,0.613,0.828,2,0,1,0,25,0
Agric,Lagos,Property,45,504152.33,455901.23,256252.29,9,0.213,51,9885.34,4,0.299,0.93,0,0,1,1,54,0
Tech,Enugu,Inventory,167,3368628.49,3146195.04,7372011.79,12,0.301,52,64781.32,8,0.389,0.945,2,0,1,1,21,1
Transport,Kaduna,None,175,219653.43,160458.22,283460.1,9,0.196,76,2890.18,8,0.246,0.232,2,1,1,1,64,0
Tech,Oyo,Inventory,7,970589.59,588007.36,2301681.17,12,0.298,53,18313.01,11,0.595,0.75,1,0,1,1,24,0
Tech,Kaduna,Vehicle,32,617195.38,356876.64,1813376.74,6,0.314,56,11021.35,6,0.351,0.597,1,1,1,1,33,1
Agric,Kano,Inventory,163,123289.29,114268.9,190016.26,24,0.191,57,2162.97,11,0.118,0.752,2,1,1,1,45,0
Retail,Rivers,Inventory,6,1319003.63,1188254.59,758413.55,18,0.359,68,19397.11,8,0.891,0.83,1,1,1,1,39,0
Agric,Rivers,Equipment,88,129114.73,107607.04,338568.38,24,0.398,62,2082.5,12,0.051,0.843,1,0,1,0,27,0
Retail,Rivers,Property,170,561013.26,409389.15,665611.87,6,0.395,52,10788.72,2,0.504,0.728,3,0,1,0,42,0
Transport,Rivers,Equipment,106,1970598.63,1326180.17,1717457.92,24,0.369,59,33399.98,10,0.243,0.57,0,0,1,0,60,0
Transport,Abuja,Property,55,452692.16,369645.92,1221377.01,18,0.192,51,8876.32,5,0.535,0.469,1,1,1,1,41,0
Transport,Rivers,None,2,323398.07,163085.77,349698.18,9,0.336,59,5481.32,5,0.671,0.485,2,0,1,1,58,1
Retail,Oyo,Vehicle,71,1499018.06,1103164.75,3017842.99,24,0.36,74,20257.0,6,0.087,0.567,2,0,1,0,37,1
Food Services,Rivers,Vehicle,97,582703.5,469307.59,661344.65,12,0.378,59,9876.33,5,0.536,0.761,2,1,1,0,52,0
Trading,Oyo,Inventory,15,506584.43,425121.6,1155592.79,12,0.363,59,8586.18,6,0.482,0.207,0,0,1,0,62,0
Retail,Abuja,Equipment,95,2297870.15,1615371.73,4875773.65,18,0.339,63,36474.13,5,0.412,0.478,1,0,1,0,55,0
Trading,Enugu,None,73,255109.75,213096.4,452289.31,3,0.368,51,5002.15,8,0.575,0.679,3,0,1,0,31,0
Retail,Oyo,Inventory,59,482315.37,261959.35,910400.29,9,0.406,64,7536.18,8,0.892,0.717,3,1,1,1,58,1
Food Services,Delta,None,175,1590887.05,962444.65,1699240.5,3,0.321,55,28925.22,5,0.79,0.497,1,0,1,1,64,0
Retail,Kano,None,160,240685.74,136005.67,133536.54,9,0.194,57,4222.56,4,0.467,0.934,2,0,1,0,61,0
Food Services,Abuja,Vehicle,125,3604928.32,2353755.29,9018709.67,18,0.395,62,58144.01,13,0.531,0.674,2,1,1,1,56,0
Tech,Oyo,None,106,600091.4,392991.97,1634200.83,24,0.348,57,10527.92,10,0.608,0.567,1,0,1,0,49,0
Transport,Enugu,Inventory,85,1602498.68,1070906.36,3917585.62,6,0.356,54,29675.9,10,0.857,0.536,2,0,1,1,56,0
Tech,Kano,None,13,1599484.04,1135027.79,3630528.61,24,0.238,49,32642.53,10,0.236,0.37,1,1,1,0,52,0
Agric,Oyo,Inventory,56,635991.75,442872.97,1068345.51,3,0.195,55,11563.49,8,0.846,0.639,3,0,1,0,64,0
